iter	Passed	Remaining
0	143	143783
1	145	72669
2	146	48796
3	147	36836
4	148	29632
5	149	24839
6	151	21426
7	152	18885
8	153	16860
9	153	15239
10	154	13923
11	155	12829
12	156	11899
13	157	11102
14	158	10411
15	159	9801
16	160	9268
17	161	8789
18	161	8360
19	162	7972
20	163	7620
21	164	7298
22	165	7009
23	165	6739
24	166	6492
25	167	6264
26	167	6048
27	168	5852
28	169	5666
29	169	5494
30	170	5335
31	171	5185
32	172	5044
33	172	4910
34	173	4781
35	174	4660
36	174	4550
37	175	4445
38	176	4345
39	177	4248
40	177	4154
41	178	4067
42	178	3983
43	179	3903
44	180	3829
45	181	3757
46	181	3685
47	182	3619
48	183	3557
49	184	3497
50	184	3437
51	185	3377
52	185	3321
53	186	3268
54	187	3216
55	187	3166
56	188	3126
57	191	3106
58	192	3065
59	193	3031
60	194	2991
61	195	2952
62	195	2912
63	196	2873
64	197	2844
65	198	2812
66	199	2782
67	200	2743
68	200	2711
69	201	2681
70	202	2654
71	203	2626
72	205	2605
73	206	2580
74	207	2559
75	208	2531
76	208	2504
77	209	2477
78	210	2451
79	211	2427
80	211	2402
81	212	2380
82	213	2357
83	214	2336
84	214	2311
85	215	2291
86	216	2267
87	216	2246
88	217	2225
89	218	2204
90	218	2186
91	219	2171
92	220	2153
93	221	2135
94	222	2116
95	222	2099
96	223	2081
97	224	2063
98	224	2047
99	226	2034
100	226	2019
101	227	2001
102	227	1985
103	228	1969
104	229	1953
105	229	1937
106	230	1922
107	230	1906
108	231	1893
109	232	1879
110	232	1865
111	233	1852
112	234	1839
113	234	1826
114	235	1813
115	236	1799
116	236	1786
117	237	1773
118	237	1761
119	238	1750
120	239	1740
121	240	1730
122	241	1719
123	242	1709
124	242	1699
125	243	1692
126	244	1683
127	245	1672
128	246	1664
129	247	1655
130	248	1647
131	249	1639
132	250	1630
133	251	1622
134	251	1614
135	253	1608
136	254	1601
137	254	1592
138	255	1585
139	256	1578
140	257	1570
141	258	1562
142	259	1554
143	260	1548
144	261	1541
145	262	1533
146	262	1525
147	263	1518
148	264	1512
149	265	1504
150	266	1498
151	267	1493
152	268	1486
153	269	1480
154	270	1473
155	271	1466
156	272	1460
157	272	1454
158	273	1447
159	274	1439
160	274	1432
161	275	1425
162	276	1419
163	277	1412
164	277	1406
165	278	1399
166	279	1393
167	279	1386
168	280	1380
169	281	1373
170	282	1367
171	282	1360
172	283	1353
173	283	1347
174	284	1340
175	284	1334
176	285	1328
177	286	1322
178	286	1316
179	287	1310
180	287	1302
181	288	1296
182	289	1291
183	289	1285
184	290	1279
185	291	1273
186	291	1267
187	292	1262
188	293	1257
189	293	1252
190	294	1246
191	295	1242
192	295	1236
193	296	1232
194	297	1227
195	298	1222
196	298	1217
197	299	1212
198	299	1207
199	300	1202
200	301	1197
201	301	1192
202	302	1187
203	303	1182
204	303	1177
205	304	1173
206	305	1168
207	305	1163
208	306	1159
209	306	1154
210	307	1149
211	308	1145
212	309	1141
213	309	1138
214	310	1133
215	311	1129
216	311	1125
217	312	1121
218	313	1117
219	313	1112
220	314	1108
221	315	1104
222	315	1100
223	316	1096
224	316	1091
225	317	1088
226	318	1083
227	318	1079
228	319	1076
229	320	1072
230	320	1068
231	321	1065
232	322	1061
233	323	1058
234	323	1054
235	324	1050
236	325	1047
237	325	1043
238	326	1039
239	327	1036
240	327	1032
241	328	1029
242	329	1025
243	329	1022
244	330	1019
245	331	1016
246	332	1013
247	333	1010
248	333	1007
249	334	1004
250	335	1001
251	336	998
252	337	995
253	337	992
254	338	989
255	339	985
256	340	983
257	341	980
258	341	977
259	342	975
260	343	972
261	344	970
262	345	968
263	346	967
264	347	965
265	349	963
266	350	961
267	351	959
268	352	957
269	353	954
270	353	951
271	354	948
272	355	945
273	355	942
274	356	939
275	357	937
276	358	934
277	358	931
278	359	929
279	360	926
280	360	923
281	361	920
282	362	917
283	363	915
284	363	912
285	364	909
286	365	907
287	365	904
288	366	902
289	367	900
290	368	898
291	369	896
