iter	Passed	Remaining
0	2	2426
1	4	2443
2	6	2254
3	8	2131
4	10	2112
5	12	2049
6	14	1996
7	16	1984
8	17	1971
9	19	1944
10	21	1922
11	23	1913
12	25	1911
13	27	1915
14	29	1933
15	31	1912
16	32	1896
17	34	1877
18	36	1870
19	37	1848
20	40	1871
21	42	1872
22	44	1875
23	45	1858
24	47	1833
25	48	1815
26	50	1806
27	51	1798
28	53	1801
29	55	1800
30	57	1801
31	59	1800
32	61	1810
33	63	1809
34	65	1806
35	67	1802
36	69	1800
37	71	1799
38	73	1800
39	74	1799
40	76	1795
41	79	1802
42	80	1798
43	82	1797
44	84	1793
45	86	1796
46	88	1797
47	90	1789
48	92	1789
49	94	1790
50	96	1792
51	98	1792
52	100	1788
53	101	1786
54	103	1785
55	105	1779
56	107	1774
57	108	1766
58	110	1763
59	112	1761
60	114	1756
61	115	1749
62	117	1747
63	119	1745
64	121	1740
65	123	1744
66	125	1746
67	127	1744
68	129	1743
69	131	1745
70	133	1744
71	135	1741
72	136	1737
73	138	1734
74	140	1730
75	142	1728
76	143	1723
77	145	1722
78	147	1717
79	149	1723
80	151	1721
81	153	1721
82	154	1709
83	156	1708
84	158	1707
85	160	1704
86	162	1704
87	164	1703
88	166	1705
89	168	1706
90	170	1706
91	172	1704
92	174	1702
93	176	1703
94	179	1705
95	181	1704
96	182	1703
97	184	1700
98	186	1699
99	188	1697
100	190	1696
101	192	1696
102	195	1698
103	196	1697
104	198	1695
105	200	1694
106	203	1694
107	205	1694
108	207	1694
109	209	1695
110	211	1694
111	213	1693
112	215	1692
113	217	1687
114	219	1686
115	220	1683
116	222	1676
117	223	1673
118	225	1670
119	227	1669
120	229	1666
121	231	1663
122	233	1662
123	234	1659
124	236	1655
125	238	1654
126	239	1649
127	242	1649
128	244	1650
129	246	1652
130	248	1650
131	250	1649
132	252	1647
133	254	1644
134	256	1642
135	258	1642
136	260	1642
137	262	1640
138	264	1638
139	266	1636
140	268	1633
141	269	1628
142	271	1624
143	272	1622
144	275	1622
145	277	1620
146	278	1618
147	280	1615
148	282	1613
149	284	1611
150	286	1608
151	288	1606
152	289	1605
153	291	1602
154	293	1600
155	295	1598
156	297	1597
157	299	1594
158	301	1597
159	304	1596
160	305	1591
161	307	1592
162	309	1590
163	311	1589
164	313	1587
165	316	1589
166	318	1588
167	320	1586
168	322	1585
169	324	1584
170	326	1583
171	328	1582
172	330	1580
173	332	1577
174	334	1576
175	336	1574
176	338	1571
177	339	1569
178	341	1566
179	343	1564
180	345	1561
181	346	1559
182	348	1557
183	350	1556
184	352	1552
185	354	1550
186	356	1548
187	358	1547
188	359	1543
189	361	1542
190	363	1541
191	365	1539
192	367	1537
193	370	1538
194	372	1537
195	374	1535
